model,n,breach_rate,target_alpha,avg_breach_severity,clustering_ratio,quantile_loss
EWMA + Historical VaR,2261,0.011941618752764263,0.01,0.006897264140231184,0.037037037037037035,0.00031518424492170985
Markov Switching + EVT,2510,0.041035856573705176,0.01,0.0027218865282381027,0.019417475728155338,0.0002735046585973583
