label,tail,threshold,shape_xi,shape_ci_low,shape_ci_high,scale_beta,n_exceedances,std_var_alpha
Pandemic Shock,left,-2.6328446880414873,-0.6472042335679049,-1.3555908387741213,-0.445433598583682,0.5977078642537923,51,-2.7571625632822525
Pandemic Shock,right,0.5462926994874401,0.027483514234857245,-0.46373899813537284,0.2378402654338962,0.4366800336486152,51,0.6441421417814857
Pandemic Shock,left,-2.654609765971776,-0.5085620674853168,-0.8942127428501407,-0.29064576955654386,0.453749291840184,65,-2.749315119331933
Pandemic Shock,right,0.8650989176534809,-0.034660118325897014,-0.5046888298739414,0.1456563675833828,0.40277486011509434,65,0.9536308879477291
Post-Pandemic,left,-2.2194548495589026,,,,,11,
Post-Pandemic,right,1.5497398341874147,,,,,11,
