Date,Price,log_return,cf_return_no_event,cf_price_no_event
2016-02-01,108.0500030517578,0.010232704202855976,0.0020898820929316714,108.0500030517578
2016-02-02,108.08999633789062,0.00037006835108891606,-0.0003160129284806553,108.01586324846478
2016-02-03,109.25,0.010674654427775114,-0.009315451405169057,107.01431888493772
2016-02-04,110.56999969482422,0.012009967818587527,0.005073447292028362,107.5586299906045
2016-02-05,112.31999969482422,0.015703135766193033,0.005621040603803889,108.16492382181701
2016-02-08,113.83000183105467,0.013354185862515874,-0.00896686803661793,107.19935874070485
2016-02-09,113.58000183105467,-0.002198672852432284,0.0023289599557340403,107.4493127079022
2016-02-10,114.45999908447266,0.007717958411726319,-0.0036235108435323914,107.06067350259283
2016-02-11,119.05999755859376,0.039402138237274204,-0.02075289801818274,104.86175019847526
2016-02-12,118.36000061035156,-0.005896714530816731,-0.003377653154607993,104.50816106400868
2016-02-16,114.7699966430664,-0.030800736245396157,-0.008818980245606385,103.59055776592383
2016-02-17,115.4800033569336,0.006167287420776475,-0.000346148454927052,103.55470625973784
2016-02-18,118.29000091552734,0.024041860433202913,0.005713611741873303,104.14807115946222
2016-02-19,117.58000183105467,-0.006020275750380557,0.004965240864288737,104.66647735909484
2016-02-22,115.48999786376952,-0.01793504091705753,0.0023420233902432335,104.9118959731332
2016-02-23,117.22000122070312,0.014868593832169272,0.0040380612309282235,105.33639312886052
2016-02-24,117.61000061035156,0.003321549590506587,-0.0056676844863565315,104.74106833783306
2016-02-25,117.91999816894533,0.002632341860518264,-0.010566651715243233,103.64013279330217
2016-02-26,117.11000061035156,-0.00689274364726045,0.001460093554238186,103.79156761075117
2016-02-29,118.63999938964844,0.012980023419282503,-0.005315481388614766,103.24132915151729
2016-03-01,117.7699966430664,-0.007360151335800538,0.0012285555646719122,103.36824480645424
2016-03-02,118.68000030517578,0.007697256644730053,-0.0037695950478742334,102.97932188422968
2016-03-03,120.7300033569336,0.017125877155555313,-0.01942288299292089,100.99846580501283
2016-03-04,120.54000091552734,-0.0015750194994792542,-0.007355188129704966,100.25832835002589
2016-03-07,121.13999938964844,0.004965240864288737,-0.005629776625606553,99.69548219221782
2016-03-08,120.58000183105467,-0.00463344826775062,0.00016757431865917162,99.71218999457979
2016-03-09,119.58000183105467,-0.00832782948151173,0.00025795416772476286,99.73791448728926
2016-03-10,121.5,0.015928644015462578,-0.016312331868591004,98.12415440521724
2016-03-11,119.41000366210938,-0.01735128256694606,-0.0025705723222454796,97.87224308660693
2016-03-14,117.87000274658205,-0.0129806346733887,0.005814285510176441,98.44295779276354
2016-03-15,117.95999908447266,0.000763230645469892,-0.007216080906090106,97.73514234290663
2016-03-16,120.58999633789062,0.02205075556149502,-0.005896714530816731,97.1605219600834
2016-03-17,120.12999725341795,-0.003821864877364753,-0.009977704836757457,96.19590329302207
2016-03-18,119.8000030517578,-0.002750755714748547,0.0035241475629946054,96.53550991161897
2016-03-21,118.95999908447266,-0.00703641669931435,0.012009967818587527,97.70188834295112
2016-03-22,119.30999755859376,0.002937832969190689,0.0015755839071671933,97.85594720038192
2016-03-23,116.61000061035156,-0.022890088658627544,0.0004810580433256342,97.90303291544285
2016-03-24,116.33000183105467,-0.0024040431975177324,0.012009967818587527,99.08593427535818
2016-03-28,116.5999984741211,0.0023182652611009025,-0.0005717761663673002,99.0292954936131
2016-03-29,118.76000213623048,0.01835540705340158,-0.01676662157593087,97.38275083951922
2016-03-30,117.0999984741211,-0.01407641031024469,0.004435011725418118,97.81560362544302
2016-03-31,117.63999938964844,0.004600850924385841,-0.0038822269155751525,97.4365974263405
2016-04-01,116.93000030517578,-0.006053640735366039,0.00782659080315549,98.20218586934233
2016-04-04,116.1500015258789,-0.006692995408569699,0.0009965350816834196,98.30009657028052
2016-04-05,117.66000366210938,0.012916668207256437,0.0007513783425439744,98.37398488947855
2016-04-06,116.94000244140624,-0.0061381369358648324,0.000757258608664271,98.44850764934424
2016-04-07,118.61000061035156,0.014179801562103168,-0.007394390217464912,97.72322578071882
2016-04-08,118.43000030517578,-0.0015187338768047718,0.004520416059329575,98.1659753721547
2016-04-11,120.02999877929688,0.013419630057020864,0.0020286289430193087,98.36531984062945
2016-04-12,120.0500030517578,0.00016664672071527165,-0.0018972637609840908,98.17887181043206
2016-04-13,118.7699966430664,-0.010719526565990614,-0.0015187338768047718,98.02987740189354
2016-04-14,117.11000061035156,-0.014075152256168354,0.0035241475629946054,98.37595861789416
2016-04-15,117.91999816894533,0.006892743647260424,0.003775305036917616,98.74805982579724
2016-04-18,117.73999786376952,-0.001527627456597003,0.0023420233902432335,98.9796011233827
2016-04-19,119.58000183105467,0.015506833308651099,-0.0002540224323478422,98.95446127753009
2016-04-20,118.97000122070312,-0.0051142480161098115,0.002378067354322114,99.19006167723762
2016-04-21,119.41999816894533,0.003775305036917616,-0.001713369544315355,99.02025795626324
2016-04-22,117.88999938964844,-0.012894694659209335,-0.0030405479988212347,98.71963936332199
2016-04-25,118.2300033569336,0.0028799271415296556,-0.0026403330092135157,98.45933044319611
2016-04-26,118.6999969482422,0.00396736763751519,0.00681829671908825,99.1329492296385
2016-04-27,119.04000091552734,0.00286030286991974,-0.0025291110010524226,98.88254777718146
2016-04-28,121.29000091552734,0.018724801093336303,-0.016672509186741884,97.24759484732526
2016-04-29,123.6500015258789,0.019270626438691787,-0.0012346702455872252,97.12760022764904
2016-05-02,123.23999786376952,-0.003321349913169904,-0.0049754946888430985,96.64554260062408
2016-05-03,122.95999908447266,-0.0022745646099544734,0.007329654945785988,97.356523519289
2016-05-04,122.20999908447266,-0.006118222826125519,-0.004034541087699915,96.96452592193019
2016-05-05,122.06999969482422,-0.0011462207767798868,0.003794725232620678,97.33317868069678
2016-05-06,123.18000030517578,0.009052054554673597,0.002076861031546589,97.53553622809099
