Date,Price,log_return,ewma_vol,ewma_hs_var,ms_mu,ms_sigma,ms_evt_var,ms_state
2016-02-01,108.0500030517578,0.010232704202855976,0.0146275529680655,,0.006614831720219213,0.01053616555764275,-0.022056506326156036,0
2016-02-02,108.08999633789062,0.00037006835108891606,0.014401731895912272,,0.006326543550999429,0.010822789565921948,-0.023124764569746832,0
2016-02-03,109.25,0.010674654427775114,0.01396329136488605,,0.005431051634037442,0.011713112201484528,-0.026443029849076677,0
2016-02-04,110.56999969482422,0.012009967818587527,0.013788110466101016,,0.004419495361460985,0.012718829204129862,-0.03019137418786903,1
2016-02-05,112.31999969482422,0.015703135766193033,0.013687937406055398,,0.0035032298354956064,0.013629805531778012,-0.03358661653888054,1
2016-02-08,113.83000183105467,0.013354185862515874,0.01381714011580018,,0.003157648787362274,0.013973391692352599,-0.03486717482365613,1
2016-02-09,113.58000183105467,-0.002198672852432284,0.013789801163320393,,0.002947115637869831,0.01418270952647143,-0.035647310106706805,1
2016-02-10,114.45999908447266,0.007717958411726319,0.013380551143177889,,0.0022482132587145344,0.014877577449256846,-0.03823710846721004,1
2016-02-11,119.05999755859376,0.039402138237274204,0.01310995091082325,,0.0010404730559040799,0.016078345898500976,-0.04271241673691814,1
2016-02-12,118.36000061035156,-0.005896714530816731,0.015959645170595105,,0.0010789618121378373,0.0160400793209468,-0.04256979579189794,1
2016-02-16,114.7699966430664,-0.030800736245396157,0.015540718518411508,,0.001040866480491362,0.01607795474498098,-0.04271095889333151,1
2016-02-17,115.4800033569336,0.006167287420776475,0.016850644419128192,,0.0011152279400168058,0.016004022541490436,-0.04243541084583971,1
2016-02-18,118.29000091552734,0.024041860433202913,0.016407001260051467,,0.0010930938370203509,0.016026028874034978,-0.042517429258369224,1
2016-02-19,117.58000183105467,-0.006020275750380557,0.01696228086407801,,0.0015049949432309386,0.015616505491940486,-0.040991120518595124,1
2016-02-22,115.48999786376952,-0.01793504091705753,0.01651152497474998,,0.0016817497766587683,0.015440770986508236,-0.040336151539414264,1
2016-02-23,117.22000122070312,0.014868593832169272,0.01660037864429834,,0.0027130413489668856,0.014415432607345822,-0.03651467760711435,1
2016-02-24,117.61000061035156,0.003321549590506587,0.016501597553533812,,0.004665018385596799,0.012474723476541064,-0.029281583143601547,1
2016-02-25,117.91999816894533,0.002632341860518264,0.016019566785983857,,0.005487187075562423,0.011657300805200185,-0.02623501871796101,0
2016-02-26,117.11000061035156,-0.00689274364726045,0.015544924645368968,,0.005743759991479963,0.011402208972000113,-0.025284282053141142,0
2016-02-29,118.63999938964844,0.012980023419282503,0.015165638667580026,,0.005783492874179787,0.011362705449775343,-0.02513705096974085,0
2016-03-01,117.7699966430664,-0.007360151335800538,0.015043459073689466,,0.005947250114270377,0.011199893508284531,-0.02453024486268522,0
2016-03-02,118.68000030517578,0.007697256644730053,0.014696177425059105,,0.005928650840283012,0.011218385416834818,-0.02459916488744926,0
2016-03-03,120.7300033569336,0.017125877155555313,0.014372676808638617,,0.005693414418311696,0.011452263922293964,-0.025470838697872207,0
2016-03-04,120.54000091552734,-0.0015750194994792542,0.01455256501197208,,0.0059883972479406545,0.01115898389893881,-0.02437777324075787,0
2016-03-07,121.13999938964844,0.004965240864288737,0.014114508872342597,,0.005906833509765056,0.011240076805489208,-0.024680009492491595,0
2016-03-08,120.58000183105467,-0.00463344826775062,0.013738464836924676,,0.005463277780465286,0.011681072082441351,-0.02632361514442931,0
2016-03-09,119.58000183105467,-0.00832782948151173,0.013368201886637038,,0.004457521726844098,0.0126810223482471,-0.03005046664246317,1
2016-03-10,121.5,0.015928644015462578,0.01312049759015873,,0.0030504532571329498,0.014079968429882602,-0.0352643902527647,1
2016-03-11,119.41000366210938,-0.01735128256694606,0.013305709736907659,,0.002488858828208806,0.014638321020906864,-0.037345390939946974,1
2016-03-14,117.87000274658205,-0.0129806346733887,0.01358246727622597,,0.002504218504043064,0.014623050009732871,-0.0372884753184241,1
2016-03-15,117.95999908447266,0.000763230645469892,0.013547111310630144,,0.002639205245688457,0.014488842487240144,-0.036788278935310594,1
2016-03-16,120.58999633789062,0.02205075556149502,0.013135742180476064,,0.002444414932783292,0.014682508361250648,-0.037510078786118665,1
2016-03-17,120.12999725341795,-0.003821864877364753,0.013833618779046573,,0.003473098360480148,0.013659763071026558,-0.03369826939187108,1
2016-03-18,119.8000030517578,-0.002750755714748547,0.013444823058746464,,0.0038939805434664056,0.013241310455966757,-0.032138681071710806,1
2016-03-21,118.95999908447266,-0.00703641669931435,0.013052642279487854,,0.003925855339401275,0.013209619659224526,-0.032020568304154805,1
2016-03-22,119.30999755859376,0.002937832969190689,0.01277183823283402,,0.003749761451490553,0.013384697034487747,-0.0326730881349744,1
2016-03-23,116.61000061035156,-0.022890088658627544,0.012403649160155725,,0.003083590914041169,0.014047022062108576,-0.03514159792569385,1
2016-03-24,116.33000183105467,-0.0024040431975177324,0.013268641651161121,,0.00406465004892853,0.013071626150575475,-0.03150626141108822,1
2016-03-28,116.5999984741211,0.0023182652611009025,0.012877896008768043,,0.004415981601466283,0.012722322680731892,-0.030204394503931583,1
2016-03-29,118.76000213623048,0.01835540705340158,0.01249849008901215,,0.004369662537137665,0.012768374365452567,-0.03037603083031421,1
2016-03-30,117.0999984741211,-0.01407641031024469,0.012924967207718196,,0.005111679957721658,0.012030640285429895,-0.02762646872177507,1
2016-03-31,117.63999938964844,0.004600850924385841,0.01299693080364349,,0.00663282704282948,0.010518274114123597,-0.02198982425669571,0
2016-04-01,116.93000030517578,-0.006053640735366039,0.012651287185481188,,0.007319037711819385,0.009836024637836938,-0.019447055311399293,0
2016-04-04,116.1500015258789,-0.006692995408569699,0.012355183421209184,,0.007664706349881391,0.009492351392951851,-0.01816617246018861,0
2016-04-05,117.66000366210938,0.012916668207256437,0.01209046298459108,,0.007809957571342086,0.009347938642976063,-0.01762794081808912,0
2016-04-06,116.94000244140624,-0.0061381369358648324,0.012141620836010404,,0.00808765239759243,0.00907184682695156,-0.016598936443239842,0
2016-04-07,118.61000061035156,0.014179801562103168,0.011867367974261233,,0.008175023921262283,0.008984979660700896,-0.016275179312768583,0
2016-04-08,118.43000030517578,-0.0015187338768047718,0.012018667297948109,,0.00848545044192977,0.008676345095950347,-0.015124886913917357,0
2016-04-11,120.02999877929688,0.013419630057020864,0.01165846709293098,,0.00852408364757897,0.008637934902823736,-0.014981730708365145,0
2016-04-12,120.0500030517578,0.00016664672071527165,0.0117715696451907,,0.008708227711515113,0.008454853821664419,-0.014299380770660532,0
2016-04-13,118.7699966430664,-0.010719526565990614,0.011413033210529624,,0.008661947254250102,0.008500867122183106,-0.014470874037707542,0
2016-04-14,117.11000061035156,-0.014075152256168354,0.011372615461216989,,0.008658889728517812,0.00850390699816268,-0.014482203767530833,0
2016-04-15,117.91999816894533,0.006892743647260424,0.011552609841289037,,0.00889978658813263,0.008264400730279614,-0.013589555079119069,0
2016-04-18,117.73999786376952,-0.001527627456597003,0.011327207131308067,,0.00899694684831328,0.008167801333593317,-0.013229525567091886,0
2016-04-19,119.58000183105467,0.015506833308651099,0.010988507762685153,,0.008912981478553093,0.008251282008164332,-0.01354066111824969,0
2016-04-20,118.97000122070312,-0.0051142480161098115,0.011310622327497893,,0.009073513134511888,0.008091677030925296,-0.012945807485166586,0
2016-04-21,119.41999816894533,0.003775305036917616,0.01103737734950623,,0.009102972593103307,0.008062387628845216,-0.012836644804029938,0
2016-04-22,117.88999938964844,-0.012894694659209335,0.010741017294343033,,0.008975554671643333,0.00818907002262607,-0.013308794755064012,0
2016-04-25,118.2300033569336,0.0028799271415296556,0.010882264212358937,,0.008994198806263167,0.008170533512404035,-0.013239708498225382,0
2016-04-26,118.6999969482422,0.00396736763751519,0.010574303416526496,,0.008827518285213037,0.008336251860037757,-0.01385734688810348,0
2016-04-27,119.04000091552734,0.00286030286991974,0.010298123107554612,,0.00837913218585941,0.008782049623439675,-0.015518851584055355,0
2016-04-28,121.29000091552734,0.018724801093336303,0.010008952948061527,,0.0073052907796508715,0.009849692215005802,-0.019497994875283732,0
2016-04-29,123.6500015258789,0.019270626438691787,0.010733381635282492,,0.007247566588948744,0.009907083189316313,-0.01971189315192492,0
2016-05-02,123.23999786376952,-0.003321349913169904,0.01142692325384566,,0.008172759848244197,0.008987230664220174,-0.016283568885855144,0
2016-05-03,122.95999908447266,-0.0022745646099544734,0.011108644492514143,,0.008573722163144715,0.008588582928599509,-0.01479779408135672,0
2016-05-04,122.20999908447266,-0.006118222826125519,0.010784631758353752,,0.008685274218009102,0.008477674814737109,-0.014384435453006205,0
2016-05-05,122.06999969482422,-0.0011462207767798868,0.010562942027034996,,0.008664643466193863,0.008498186474286304,-0.014460883164189602,0
2016-05-06,123.18000030517578,0.009052054554673597,0.010245000192028274,,0.0083954684225024,0.008765807688713444,-0.015458317294665829,0
2016-05-09,120.6500015258789,-0.02075289801818274,0.010177367473871966,,0.00800343157712682,0.009155581477623301,-0.01691101857268642,0
2016-05-10,120.9800033569336,0.002731465708414251,0.011099776878186291,,0.008730680087512745,0.008432531053368896,-0.014216182990423543,0
2016-05-11,122.12000274658205,0.009378919930915332,0.01078241152227842,,0.009022299039896486,0.008142595489073553,-0.013135582455499235,0
2016-05-12,121.16000366210938,-0.007892173973086957,0.010703393045471512,,0.009246025711648917,0.007920160293102125,-0.012306558281328346,0
2016-05-13,121.70999908447266,0.004529141979827091,0.010555853822689348,,0.009404672656370969,0.007762429147489916,-0.01171868848778638,0
2016-05-16,121.8000030517578,0.0007392219670166908,0.010294235015523597,,0.009447789297876067,0.0077195613994127926,-0.011558918810631659,0
2016-05-17,122.22000122070312,0.003442329123242993,0.009982273540057564,,0.009378811304425326,0.007788141213213045,-0.011814518304462885,0
2016-05-18,120.0999984741211,-0.017497993073654197,0.009714834826922432,,0.00916141791176466,0.008004279689330356,-0.012620074371645371,0
2016-05-19,119.87000274658205,-0.0019168712488534102,0.010348242385442125,,0.009343644525786702,0.007823104989489217,-0.011944829587381323,0
2016-05-20,119.70999908447266,-0.0013357015166127583,0.010043974161798213,,0.00938014630383475,0.007786813920168667,-0.011809571434363527,0
2016-05-23,119.37000274658205,-0.0028442074994739935,0.009743488998176515,,0.009294065663938332,0.007872397654350766,-0.012128545166208954,0
2016-05-24,117.3000030517578,-0.017493154439807618,0.009472318309903622,,0.009038648212150382,0.008126340693408009,-0.013075000232914852,0
